Customer ID,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Churn_Probability,CLV_Estimate,log_Recency,log_Frequency,log_Monetary,Cluster,DBSCAN_Cluster,PC1,PC2
14646,Netherlands,1,68,264921.86,5,1,1,7,511,Champions,0.05,96696478.9,0.6931471805599453,4.23410650459726,12.487193968252557,1,-1,6.624683466806582,1.3823863304879493
14911,EIRE,1,198,136275.72,5,1,1,7,511,Champions,0.05,49740637.8,0.6931471805599453,5.293304824724492,11.822442803390164,1,-1,7.2651662185482975,1.553290644820023
12415,Australia,24,20,112609.13,4,1,1,6,411,Champions,0.05,1712597.19,3.218875824868201,3.044522437723423,11.631686955117187,1,-1,4.197844838614513,2.159270267159318
14156,EIRE,9,54,102732.63,5,1,1,7,511,Champions,0.05,4166378.88,2.302585092994046,4.007333185232471,11.53989480093111,1,-1,5.366452377645721,1.9379966363145622
18102,United Kingdom,0,49,96133.08,5,1,1,7,511,Champions,0.05,35088574.2,0.0,3.912023005428146,11.47349916268495,1,-1,6.102669137231603,0.458817526510232
17511,United Kingdom,2,31,91062.38,5,1,1,7,511,Champions,0.05,16618884.35,1.0986122886681098,3.4657359027997265,11.419311026583388,1,-1,5.264395611215409,0.940878999914707
17450,United Kingdom,8,39,67877.49,5,1,1,7,511,Champions,0.05,3096910.48,2.19722457733622,3.688879454113936,11.125474473962257,1,-1,4.917682944517916,1.5969912888524884
13694,United Kingdom,3,50,65039.62,5,1,1,7,511,Champions,0.05,7913153.77,1.3862943611198906,3.9318256327243257,11.082767276771584,1,-1,5.418305503415211,1.1770910241829693
15311,United Kingdom,0,91,60767.9,5,1,1,7,511,Champions,0.05,22180283.5,0.0,4.5217885770490405,11.01483342392888,1,-1,6.434860945453974,0.5294057199704887
13089,United Kingdom,2,97,58825.83,5,1,1,7,511,Champions,0.05,10735713.98,1.0986122886681098,4.584967478670572,10.982353322333951,1,-1,6.0688001086217245,1.2186009263007986
16684,United Kingdom,4,27,58593.76,5,1,1,7,511,Champions,0.05,5346680.6,1.6094379124341005,3.332204510175204,10.978400551771694,1,-1,4.741828025205456,1.0418467330167906
14096,United Kingdom,4,17,53258.43,5,1,1,7,511,Champions,0.05,4859831.74,1.6094379124341005,2.8903717578961645,10.882930157095108,1,-1,4.2954576636412725,0.8341678562832309
14298,United Kingdom,8,44,51527.3,5,1,1,7,511,Champions,0.05,2350933.06,2.19722457733622,3.80666248977032,10.849886450287096,1,-1,4.891956359708652,1.5422091017921964
16029,United Kingdom,38,61,51500.49,3,1,1,5,311,Champions,0.25,494675.76,3.6635616461296463,4.127134385045092,10.84936601827214,1,-1,4.638000230064148,2.570089659093525
14088,United Kingdom,10,13,50491.81,5,1,1,7,511,Champions,0.05,1842951.06,2.3978952727983707,2.6390573296152584,10.829586228889369,1,-1,3.749415187263417,1.2018170524411904
15769,United Kingdom,7,25,44615.0,5,1,1,7,511,Champions,0.05,2326353.57,2.079441541679836,3.258096538021482,10.70584781806939,1,-1,4.369206343607944,1.2025144301361277
15061,United Kingdom,3,48,42832.94,5,1,1,7,511,Champions,0.05,5211341.03,1.3862943611198906,3.8918202981106265,10.665086057973124,1,-1,5.18125152303483,1.0086271953783308
17841,United Kingdom,1,124,40967.72,5,1,1,7,511,Champions,0.05,14953217.8,0.6931471805599453,4.8283137373023015,10.620564127680396,1,-1,6.2659176702078465,0.931741131956351
13798,United Kingdom,1,57,37153.85,5,1,1,7,511,Champions,0.05,13561155.25,0.6931471805599453,4.060443010546419,10.522849593441716,1,-1,5.522949625242225,0.5957667647718355
16422,United Kingdom,17,51,34684.4,4,1,1,6,411,Champions,0.05,744694.47,2.8903717578961645,3.951243718581428,10.454074128115597,1,-1,4.575486299087779,1.8806630733257028
12748,United Kingdom,0,206,32317.32,5,1,1,7,511,Champions,0.05,11795821.8,0.0,5.332718793265369,10.383389531085994,1,-1,6.866326911887733,0.6154286882890718
17404,Sweden,4,12,30593.82,5,1,1,7,511,Champions,0.05,2791686.08,1.6094379124341005,2.5649493574615367,10.328585992565069,1,-1,3.7340049123886807,0.5041089277843547
17389,United Kingdom,0,34,29925.68,5,1,1,7,511,Champions,0.05,10922873.2,0.0,3.555348061489413,10.30650566920124,1,-1,5.21836816537607,-0.10761861566627999
13098,United Kingdom,1,28,28882.44,5,1,1,7,511,Champions,0.05,10542090.6,0.6931471805599453,3.367295829986474,10.271023699486712,1,-1,4.773624045698126,0.23262107071504948
14680,United Kingdom,25,16,28754.11,4,1,1,6,411,Champions,0.05,419810.01,3.258096538021482,2.833213344056216,10.266570769562204,1,-1,3.335502968231954,1.6013263658050234
13081,United Kingdom,11,11,28337.38,5,1,1,7,511,Champions,0.05,940285.79,2.4849066497880004,2.4849066497880004,10.251972348590336,1,-1,3.299724324963866,0.9837778631695737
13408,United Kingdom,1,62,28117.04,5,1,1,7,511,Champions,0.05,10262719.6,0.6931471805599453,4.143134726391533,10.244166642215127,1,-1,5.463928644580486,0.526132183981196
12931,United Kingdom,21,15,27329.72,4,1,1,6,411,Champions,0.05,475016.56,3.091042453358316,2.772588722239781,10.215766623251278,1,-1,3.318126200463977,1.4561855575136924
